337,326,604,341
53,556,604,572
337,307,604,322
337,693,604,708
53,502,231,518
35,789,355,804
337,105,569,120
337,289,586,304
337,235,409,249
337,215,426,231
337,709,462,729
53,173,249,188
35,745,604,760
337,163,373,178
337,194,604,213
337,268,586,286
53,795,604,823
373,493,444,507
35,764,604,786
426,782,604,800
71,339,569,361
53,446,320,464
337,674,569,690
53,104,266,123
53,409,106,426
337,812,515,828
337,247,604,266
53,845,88,858
53,536,604,556
53,724,569,742
35,635,604,657
53,298,142,310
35,155,284,174
53,363,302,377
337,125,444,140
35,67,604,83
35,142,391,157
515,493,569,505
35,574,284,589
35,484,249,500
35,85,604,100
53,591,586,607
337,575,586,590
35,672,142,686
142,293,284,306
337,175,444,194
35,652,604,673
444,487,515,500
35,392,124,411
53,426,88,440
35,378,177,394
35,466,302,481
35,621,302,636
53,520,604,536
498,609,604,624
462,233,604,251
35,703,142,717
35,605,302,621
249,374,462,394
231,394,284,409
0,884,569,903
373,620,586,641
35,123,284,140
515,123,551,138
444,143,551,157
498,212,604,230
195,315,266,328
