329,829,642,852
34,852,624,873
208,14,434,33
329,358,624,383
295,747,347,761
295,579,347,593
34,13,69,30
208,504,434,519
34,660,104,678
329,89,624,107
17,231,295,246
17,249,590,264
17,361,104,379
295,727,347,741
34,579,86,591
243,530,381,541
295,553,347,567
34,724,121,737
17,346,624,360
329,65,607,79
347,232,624,248
34,92,104,111
295,419,624,436
486,729,555,746
69,526,104,535
17,283,399,298
34,640,104,651
34,554,86,564
17,172,86,185
17,328,104,343
17,196,156,211
486,577,555,591
486,751,555,767
34,702,121,715
34,613,86,625
17,380,86,401
486,664,555,678
329,47,607,63
329,811,624,829
17,294,121,313
17,312,624,327
173,792,208,804
451,522,607,538
17,874,624,891
486,597,555,609
17,393,295,415
34,626,86,641
260,482,416,498
347,396,468,418
277,614,347,626
486,556,538,569
0,440,624,455
295,701,329,713
347,215,624,231
277,597,347,610
347,266,538,281
486,644,555,659
347,198,434,213
277,641,347,658
486,628,538,641
486,613,555,626
486,684,555,697
0,458,607,472
277,770,347,783
69,105,624,125
329,382,468,399
277,628,329,642
277,665,347,679
34,59,86,77
17,750,104,762
17,122,624,142
0,213,295,229
277,792,364,805
572,295,624,310
0,141,451,159
486,715,520,727
17,597,86,609
0,154,225,172
17,763,104,781
0,412,295,436
17,677,104,696
0,266,52,280
486,701,538,713
572,282,624,297
277,684,347,697
329,300,381,314
486,771,538,783
